Nom;Prénom;Autres_formes_du_Nom;Naissance;Mort;Genre;Ville;Rue;Indication;Enseigne;Note;Informations;Lien_IdRef;Ids;ISNI;Liste_Identifiants;Identifiant_BnF
Blageart;Michel;;;;M;Paris;au bout du Pont-Neuf;au coin de la rue Dauphine;;;"Paris : 1631-1655? ; Rue Neuve-Saint-Louis, vis-à-vis la petite porte du Palais ; Au bout du Pont-Neuf, au coin de la rue Dauphine ; Rue de la Calandre, près (ou : devant) le Palais ; Rue Dauphine - À la Fleur de lys,Devise(s) : Calcata resurgit,Frère puîné de Jérôme Blageart. Entre en apprentissage en janv. 1614 chez Heureux Blanvillain dont il épouse lune des filles";http://www.idref.fr/032434944/id;http://isni.org/isni/0000000109139226;isni:0000000109139226;http://data.bnf.fr/ark:/12148/cb12346540v#foaf:Person,http://isni.org/isni/0000000109139226,http://viaf.org/viaf/71465027;12346540
Blondeau;;;;;M;;;;;;;;;;;
Boisset;Nicolas;;;1663;M;Paris;rue Calende;;;;"Imprimeur-libraire,Paris, 30 juin 1644 - 1663. Adresses : rue Galende, à limage Saint-Etienne (en 1649) ; rue Saint-Jean-de-Beauvais, au coeur navré (en 1663)";http://www.idref.fr/074286234/id;http://isni.org/isni/0000000003353603;isni:0000000003353603;http://viaf.org/viaf/202202495,http://isni.org/isni/0000000003353603,http://data.bnf.fr/ark:/12148/cb14578730t#foaf:Person;
Bon;Pierre;;;;M;;;;;;;;;;;
Bouche dor;Jean-Baptiste;;;;M;;;;;;;;;;;
Bouchet;Jacques;;;;M;;;;;;;;;;;
Boude;Jean;Boude I, Jean,Boudo, Jan;1591;1689;M;Toulouse;;Près le collège de Foix;À lenseigne Saint Jean;imprimeur du roi à Toulouse.;"Toulouse : 1607?-1684 ; Près le collège de Foix - À lenseigne Saint Jean,Narbonne : 1658,Travaille en association avec son fils Jean-Jacques Boude jusquà la mort de celui-ci (mars 1675), puis avec sa belle-fille Élisabeth Hénault (veuve Jean-Jacques Boude) jusquen 1677. Nicolas dEstey travaille dans son atelier en 1626.,Imprimeur-libraire ; imprimeur (ordinaire) du Roi, des États généraux de la province de Languedoc et de luniversité de Toulouse. Imprime en 1662 pour le collège des Jésuites de Béziers, mais à Toulouse en dépit de ladresse portée sur lesdites impressions. Réimprime la Gazette à partir de 1673. Se retire en mars 1684. Décédé en 1689. Grand-père de limprimeur-libraire Jean II Boude.";http://www.idref.fr/069973210/id;http://isni.org/isni/0000000054343966;isni:0000000054343966;http://data.bnf.fr/ark:/12148/cb137416235#foaf:Person,http://isni.org/isni/0000000054343966,http://viaf.org/viaf/66644876;13741623
Boudeville;Claude;;;;M;Paris;rue des Carmes;proche Saint-Hilaire;;;"Apprenti puis compagnon de Noe͏̈l Charles. En activité dès 1649 ; reçu maître en fév. 1650,Paris : 1649-1650 ; Rue des Carmes (, proche Saint-Hilaire) - Au Lys fleurissant";http://www.idref.fr/031129854/id;http://isni.org/isni/0000000108647130;isni:0000000108647130;http://data.bnf.fr/ark:/12148/cb12240537b#foaf:Person,http://isni.org/isni/0000000108647130,http://viaf.org/viaf/4986005;12240537
Bouillerot;Jérémie;Bouillerot I, Jérémie;;1657-10-12;M;Paris;rue de la Calandre;près le Palais;;;"Paris : 1638-1657 ; Dans la cour du Palais, vis-à-vis la Conciergerie ; Rue de la (Vieille-) Draperie (, vis-à-vis la grand-porte du Palais) ; (Dessous la Grande porte du ; devant le ; près le) Palais (, vis-à-vis la) rue de la Calende - À lenseigne de lImprimerie - Au Saumon,Imprimeur-libraire. Apprenti chez Joseph Guerreau dès fév. 1617. Reçu imprimeur-libraire en mars 1638";http://www.idref.fr/031070701/id;http://isni.org/isni/000000037117481X;isni:000000037117481X;http://data.bnf.fr/ark:/12148/cb122359154#foaf:Person,http://isni.org/isni/000000037117481X,http://viaf.org/viaf/225408021;12235915
Boulanger;Pierre;;;;M;;;;;;;;;;;
Bourdelois;Antoine;;;;M;;;;;;;;;;;
Bourgeois;Claude;;;;M;Paris;au mont Saint-Hilaire;;;;;;http://viaf.org/viaf/120750736;viaf:120750736;;
Brunet;Jean;;;;M;Paris;rue Neuve Saint-Louis;proche le Palais;;Daprès un acte notarié du 20 novembre 1613, il est domicilié rue Saint-Jacques devant léglise Saint-Yves. Il loue alors pour une durée de 4 ans une presse entièrement équipée (cf. Archives nationales, MC/ET/XI/95, fol. III/C/XLI).;"Aurait également pratiqué la reliure-dorure. Un libraire du même nom a exercé à Lyon en 1617 et au Pont (i. e. Charenton ?) en 1617 et 1618. Rédacteur et éditeur de mazarinades favorables au parti des Princes et au duc dOrléans en 1652,Paris : 1614-1660? ; Rue Saint-Germain ; Au bout du pont Notre-Dame ; Rue Neuve-Saint-Louis (, au bout du pont Saint-Michel ; en la troisième chambre ; près (ou : proche) le Palais) ; Rue Sainte-Anne - Aux Trois Pigeons - Au Trois de chiffre - À la Crosse dor - Au Canon royal";http://www.idref.fr/031159486/id;http://isni.org/isni/0000000001831368;isni:0000000001831368;http://data.bnf.fr/ark:/12148/cb12242877w#foaf:Person,http://isni.org/isni/0000000001831368,http://viaf.org/viaf/32052121;12242877
Bruslé;Jean;;;;M;;;;;;;;;;;
Béchet;Denis;Bechet, Dionysius (libraire);;;M;Paris;rue Saint-Jacques;;au compas dor;;"Adresse(s) : Paris (1632-1675), Rue Saint-Jacques. - À lÉcu au Soleil ; Au Compas dor (et à lÉcu au Soleil),Jusquen 1650, travaille en association avec Claude Sonnius, puis lui succède ; de 1658 à 1661 environ, associé à Louis Billaine,Neveu du libraire parisien Jérôme Drouart chez qui il est apprenti de mai 1626 à fév. 1632. Reçu maître en fév. 1632. Membre de la Compagnie des usages réformés. Ne semble pas avoir exercé au-delà de 1675. Élu consul en 1669, puis grand juge-consul en 1682, il est administrateur des hôpitaux en 1689. Encore attesté en 1695 (rôles de la capitation), il est décédé avant 1705 et nest pas mentionné lors de lenquête de nov.-déc. 1701, mais figure encore sur la liste établie en sept. 1703, en qualité dancien syndic";http://www.idref.fr/031109233/id;http://isni.org/isni/0000000361002686;isni:0000000361002686;http://isni.org/isni/0000000361002686,http://data.bnf.fr/ark:/12148/cb122388534#foaf:Person,http://viaf.org/viaf/29327546;12238853
Cailloué;Jacques;;;1664-08-01;M;Rouen;au Palais;;;;"Rouen : 1612?-1663? ; Rue aux Juifs (, près le Palais) ; Dans la cour du (ou : Au) Palais - À lenseigne du Noyer,Devise(s) : Je suis tousjours Cailloué. Paupertas obesse ne summis ingeniis provehantur,Le Petit-Quevilly (Quevilly) : 1612?-1663?,Libraire. Fils dun Isaac Cailloué. Recu apprenti en août 1609 et maître en 1618, il aurait commencé à exercer dès 1612. Décédé le 1er août 1664 lors dun déplacement à Saumur";http://www.idref.fr/031000371/id;http://isni.org/isni/0000000066450734;isni:0000000066450734;http://data.bnf.fr/ark:/12148/cb122303576#foaf:Person,http://isni.org/isni/0000000066450734,http://viaf.org/viaf/41892292;12230357
Calleville;(veuve de Claude);;;;F;Paris;rue de Reims;à lencoignure de la rue Chartière;;;;;http://isni.org/isni/0000000002197899;isni:0000000002197899;;
Camus;Jérôme;;;;M;;;;;;;;;;;
Camusat;Veuve de Jean;;;1678;F;Paris;rue Saint-Jacques;;;;"Travaille à partir de 1642 et jusquen juin 1651 en association avec Pierre Le Petit, son gendre à partir de nov. 1643,Adresse : Paris (1639-1652?), Rue Saint-Jacques. - À la Toison dor (et à la Croix dor), À la Croix dor,Nom patronymique : Denise de Courbes. - Imprimeur-libraire ; imprimeur-libraire de lAcadémie française (1639-1646). - Fille dun Jean de Courbes mesureur juré de grains et bourgeois de Paris, et non du libraire parisien Jean de Courbe(s). Épouse limprimeur-libraire Jean Camusat en juillet 1624. Lui succède à son décès (juin 1639). Publie également sous le nom de Jean Camusat, jusquen 1642 au moins. Se remarie le 15 juillet 1651 avec le libraire Louis de Villac ; autorisée à sen séparer de biens par acte du 17 juin 1653. Inventaire après décès 7 juin 1678,Devise(s) : Tegit et quos tangit inaurat";http://www.idref.fr/031202837/id;http://isni.org/isni/0000000000279794;isni:0000000000279794;http://data.bnf.fr/ark:/12148/cb12246308n#foaf:Person,http://isni.org/isni/0000000000279794,http://viaf.org/viaf/301237944;12246308
Candy;Jean-Aimé;Candy, Joannes Amatus;;1658-01;M;Lyon;Rue du Puy-Pelu;;;imprimeur ordinaire du roi;"Imprimeur du Roi en association avec Guillaume I Barbier à partir de 1648,Lyon : 1627-1658 ; Rue du Puy-Pelu - Au Dauphin (royal),Variante(s) de prénom : Joannes Amatus ; Jean-Aymé. Imprimeur-libraire ; imprimeur (ordinaire) du Roi (1643) et du clergé. Imprime léd. lyonnaise de la Gazette de 1640 à 1645 et doct. 1648 à janv. 1658. Teste le 10 janv. 1658 ; veuve attestée à partir du 17 janv. 1658";http://www.idref.fr/067151388/id;http://isni.org/isni/0000000121202486;isni:0000000121202486;http://isni.org/isni/0000000121202486,http://data.bnf.fr/ark:/12148/cb12257045g#foaf:Person,http://viaf.org/viaf/9905963;12257045
Canobe ou Canabot;;;;;M;Paris;rue de la Machine;;;Aussi « Canabe (Jacques) »;;;http://isni.org/isni/0000000071065793;isni:0000000071065793;;
Cay;Denis de;De Cay, Denis,Decay, Denis;;1671;M;Paris;en lîle du Palais;;;imprimeur et libraire ordinaire de la chambre des Comptes;"Lieu dactivité : Paris. Dates dactivité : 1618-1671?. Adresse : Dans la cour du Palais entre les deux petits escaliers de la Grand-Salle. Adresse : En entrant dans (ou : À lentrée de) la grand-salle du Palais du côté des Consultations. Adresse : En lîle du Palais. Enseigne : Au Chef Saint Denis. Enseigne : Au Soleil dor,A travaillé en association avec le libraire-relieur Eustache I Daubin,Variante(s) de prénom : Denys. - Libraire ; libraire suivant la cour ; imprimeur et libraire ordinaire de la Chambre des comptes. - Exerce en qualité de relieur de 1618 à 1622. Reçu libraire en 1621. Publie des mazarinades entre 1649 et 1652. Sa veuve exerce aux environs du Louvre entre 1672 et 1683 au moins";http://www.idref.fr/178866377/id;http://isni.org/isni/0000000074989000;isni:0000000074989000;http://data.bnf.fr/ark:/12148/cb16173995b#foaf:Person,http://isni.org/isni/0000000074989000,http://viaf.org/viaf/103682901;16173995
Chambellan;David;;;;M;Paris;au mont Saint-Hilaire;;;;Imprimeur-libraire. - Lieu dactivité : Paris. - Dates dactivité : 1er février 1635 - .... . - Adresse : rue de la Harpe, à lÉcu de France.;http://www.idref.fr/130283819/id;http://isni.org/isni/0000000059140607;isni:0000000059140607;http://viaf.org/viaf/85956627,http://isni.org/isni/0000000059140607;
Chamhoudry;Louis;;;1672;M;Paris;au Palais;près de la Sainte-Chapelle , à lentrée de la petite salle;;;"Libraire. Gendre dAndré Soubron chez qui il a été apprenti à partir de déc. 1642. Reçu maître en août 1648. Auteur de lépître dédicatoire du Recueil de diverses poésies des plus célèbres autheurs de ce temps... (1652),Paris : 1648-1672? ; Au Palais, proche (ou : près de ; devant) la Sainte chapelle (, à lentrée de la petite salle) - Au Bon Marché - À lImage Saint Louis";http://www.idref.fr/066764378/id;http://isni.org/isni/0000000063019084;isni:0000000063019084;http://isni.org/isni/0000000063019084,http://data.bnf.fr/ark:/12148/cb122549666#foaf:Person,http://viaf.org/viaf/32054167;12254966
Champenois;Pierre;Champenois, P.,Champenois, Pierre Ier;;1649-03;M;Paris;sur le Pont-Neuf;proche la Samaritaine;;;"En 1633, travaille en association avec le libraire Pierre Trichard,Libraire-relieur. - En apprentissage chez le libraire parisien Guillaume I Macé à partir de juin 1610. Reçu maître le 14 mai 1626. En 1645 obtient des lettres de colporteur. Le 1er mars 1648, des pièces de théâtre de Pierre Corneille contrefaites sont saisies dans sa boutique ainsi que chez dautres libraires parisiens ; une sentence du Châtelet du 28 nov. 1648 les condamne aux dommages et intérêts et porte confiscation des livres saisis (cf. G. Lepreux, Revue des bibliothèques, XXIV, 1914, pp. 159-161). Sépulture le 5 mars 1649 à Paris,Lieu dactivité : Paris. Dates dactivité : 1626-1649. Adresse : (Dessus (ou : Sur) le Pont-Neuf,) Proche (ou : vis-à-vis ; devant) la Samaritaine";http://www.idref.fr/109902726/id;http://viaf.org/viaf/218396028;viaf:218396028;http://viaf.org/viaf/218396028;
Charles;Noël;Charles, Natalis;;1662;M;Paris;rue Saint-Jacques;;;;Paris :1623-1659?, Rue des Carmes, Rue Saint-Jacques (, devant les Mathurins). Au collège de la Merci (, rue des Sept-Voies). Près Saint-Hilaire, en la cour dAlbret, Aux Trois Couronnes,Variante(s) de prénom : Natalis. - Imprimeur-libraire. - Entré en apprentissage en oct. 1607. Reçu maître le 19 oct. 1623. Sépult. 12 avril 1662,Devise(s) : Manet ultima coelo;http://www.idref.fr/030987008/id;http://isni.org/isni/0000000110472958;isni:0000000110472958;http://isni.org/isni/0000000110472958,http://data.bnf.fr/ark:/12148/cb12229331g#foaf:Person,http://viaf.org/viaf/27118509;12229331
Chaumusy;François;;;;M;Paris;;proche le Puits-certain;;;;;http://isni.org/isni/0000000076971031;isni:0000000076971031;;
Chenault;Charles;;;;M;Paris;au bout du pont Saint-Michel;à lentrée de la rue de la Huchette;;;;;http://isni.org/isni/0000000121327895;isni:0000000121327895;;
Chevalier;Jacob;Chevallier, Jacob (libraire-relieur);;;M;Paris;devant le collège Royal;;;;"Reçu apprenti chez le relieur Geoffroy Cordier en mai 1618 ; reçu maître le 16 janv. 1631. Gendre du libraire-relieur Jean de Courbe. Corédacteur de linventaire de la bibliothèque de François de Bassompierre (oct.-nov. 1646). Un arrêt du parlement de Paris du 2 mars 1651 lui interdit, ainsi quà dautres libraires-relieurs, de publier des arrêts dont certains libraires ont le privilège. Administrateur de la confrérie de 1654 à 1657,Paris : 1631-1657? ; Proche Saint-Jean-de-Latran (ou : Rue Saint-Jean-de-Latran, devant le Collège royal (; devant Saint-Benoît))";http://www.idref.fr/069166854/id;http://isni.org/isni/0000000385986464;isni:0000000385986464;http://data.bnf.fr/ark:/12148/cb13526044x#foaf:Person,http://isni.org/isni/0000000385986464,http://viaf.org/viaf/250672708;13526044
Chevalier;L.;;;;M;;;;;;;;;;;
Chouqueux;André;;;1691;M;Paris;rue Saint-André-des-Arts;près le pont Saint-Michel;à limage Notre-Dame;;"Imprimeur-libraire. Apprenti en 1638 puis gendre de Jean Brunet. Recu libraire en août 1649, puis imprimeur avant 1657. Veuve attestée en 1691,Paris : 1649-1691? ; Rue Saint-André-des-Arts (, près le pont Saint-Michel) ; Rue de Harlay, à lentrée de la cour neuve du Palais";http://www.idref.fr/031000800/id;http://isni.org/isni/0000000364435102;isni:0000000364435102;http://isni.org/isni/0000000364435102,http://data.bnf.fr/ark:/12148/cb12230388g#foaf:Person,http://viaf.org/viaf/228701142;12230388
Chrestien;Antoine;Chrestien I, Antoine (162.?-1665),Christian, Antonie,Chrétien, Antoine;;1665;M;Paris;rue des Sept-Voies;devant le collège de Fortet;;;"Lieu dactivité : Paris. Dates dactivité : 1651-1665. Adresse : Rue des Sept-Voies (, devant le collège de Fortet ; devant le collège de Montaigu),Variante(s) de prénom : Antonio. - Imprimeur-libraire. - Entré en apprentissage chez limprimeur-libraire parisien Mathurin Hénault en nov. 1638. Reçu maître le 7 juin 1651 ; épouse la veuve de limprimeur-libraire Jacques Guillery. Encore en activité en 1665. Veuve attestée en 1665 et lors du procès-verbal du 15 oct. 1666";http://www.idref.fr/193187396/id;http://isni.org/isni/0000000001599095;isni:0000000001599095;http://isni.org/isni/0000000001599095,http://data.bnf.fr/ark:/12148/cb12486440k#foaf:Person,http://viaf.org/viaf/12409696;12486440
Chumusy (de);Pierre;;;;M;;;;;;;;;;;
Chéreau;Éloi;;;;M;;;;;;;;;IL:77255678;;
Clement;Anthony;Clementius, Antonius;1620;1657;M;Paris;;au faubourd Saint-Germain, sur les fossés;;;Commentateur de poètes classiques latins;http://www.idref.fr/139020306/id;http://isni.org/isni/0000000083829623;isni:0000000083829623;http://isni.org/isni/0000000083829623,http://viaf.org/viaf/53104722;
Clousier;Gervais;Clouzier, Gervais;;1681-04-17;M;Paris;;au Palais, sur les degrés de la Sainte-Chapelle;à lenseigne du Voyageur;;"Paris : 1634-1681 ; Au Palais, sur les degrés de (ou : en montant pour aller à) la Sainte-Chapelle (, à la seconde boutique) - À lenseigne du Voyageur,Libraire. Frère puîné de Francois I Clousier. Recu libraire en août 1634";http://www.idref.fr/03111184X/id;http://isni.org/isni/0000000121202443;isni:0000000121202443;http://data.bnf.fr/ark:/12148/cb122390566#foaf:Person,http://isni.org/isni/0000000121202443,http://viaf.org/viaf/9903136;12239056
Clément;Jacques;;;;M;;;;;;;;;;;
Clément;Philippe;Clément, Philippes;;;M;Paris;rue des Fossés;;;;Libraire. - Paris : 1652. - Adresse : rue des Fossés;http://www.idref.fr/092404030/id;http://isni.org/isni/0000000360431147;isni:0000000360431147;http://isni.org/isni/0000000360431147,http://viaf.org/viaf/222461236,http://data.bnf.fr/ark:/12148/cb15954395r#foaf:Person;
Colomb;Benoît;;;;M;;;;;;;;;;;
Colombel;Mathieu;Colombel, Matthieu;;;M;Paris;rue Neuve Sainte-Anne du Palais;;à la colombe royale;;Imprimeur,Paris, 17e s. Rue Neuve Sainte-Anne du Palais, à la Colombe royale;http://www.idref.fr/068998805/id;http://isni.org/isni/0000000056700197;isni:0000000056700197;http://isni.org/isni/0000000056700197,http://data.bnf.fr/ark:/12148/cb15962086p#foaf:Person,http://viaf.org/viaf/79222028;
