Nom,Prénom,Lieu,Note,Enseigne,Informations,ISNI,Ids,Type,Ville,Rue,Indication,Enseigne_2,Coordonnées
Beauplet,David,en l'île du Palais.,,,,,,Imprimeur,Paris,en l'île du Palais,,,
Béchet,Denis,rue Saint-Jacques,,au compas d’or,"[""Adresse(s) : Paris (1632-1675), Rue Saint-Jacques. - À l'Écu au Soleil ; Au Compas d'or (et à l'Écu au Soleil)"", ""Jusqu'en 1650, travaille en association avec Claude Sonnius, puis lui succède ; de 1658 à 1661 environ, associé à Louis Billaine"", ""Neveu du libraire parisien Jérôme Drouart chez qui il est apprenti de mai 1626 à fév. 1632. Reçu maître en fév. 1632. Membre de la Compagnie des usages réformés. Ne semble pas avoir exercé au-delà de 1675. Élu consul en 1669, puis grand juge-consul en 1682, il est administrateur des hôpitaux en 1689. Encore attesté en 1695 (rôles de la capitation), il est décédé avant 1705 et n'est pas mentionné lors de l'enquête de nov.-déc. 1701, mais figure encore sur la liste établie en sept. 1703, en qualité d'ancien syndic""]",isni:0000000361002686,http://isni.org/isni/0000000361002686,Imprimeur,Paris,rue Saint-Jacques,,au compas d’or,
Belgrand,Simon,Toul,imprimeur du roi à Toul.,,['Imprimeur du roi à Toul (Meurthe-et-Moselle). Activité attestée en 1647. Associé avec Jean Laurent.'],viaf:288496523,http://viaf.org/viaf/288496523,Imprimeur,Toul,,,,
Bellaire,Isaac,à Bruxelles.,,,,,,Imprimeur,Bruxelles,,,,
Beley,Martin,proche le Puy-certain,,,,viaf:107634852,http://viaf.org/viaf/107634852,Imprimeur,Paris,,proche le Puy-certain,,
Beltrinklt le Jeune,Samuel,à Anvers.,,,,viaf:12160725775810182220,http://viaf.org/viaf/12160725775810182220,Imprimeur,Anvers,,,,
Benar,Louis,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,au mont Saint-Hilaire,,,
Berlay,Martin,,marchand libraire.,,,viaf:107634852,http://viaf.org/viaf/107634852,Imprimeur,,,,,
Bernard,,à Reims.,,,,,,Imprimeur,Reims,,,,
Berthelin,Jean,à Rouen.,,,"['Devise(s) : Cuncta in tempore', 'A souvent travaillé en association avec ses beaux-frères Jacques I Besongne et David Du Petit Val', 'Libraire. Reçu maître en 1602 en qualité de gendre de Raphae͏̈l Du Petit Val, semble avoir exercé dès janv. 1601. Dit âgé de 74 ans et 8 mois lors de son décès (juin 1652)', 'Le Petit-Quevilly (Quevilly) : 1601?-1652', 'Rouen : 1601?-1652 ; Dans la cour du Palais']",isni:0000000108849250,http://isni.org/isni/0000000108849250,Imprimeur,Rouen,dans la cour du Palais,,,
Berthelin,Jean,dans la cour du Palais.,,,"['Travaille fréquemment en association avec son frère puîné David Berthelin','Devise(s) : Cuncta in tempore', 'Libraire. - Fils et successeur du libraire de Rouen Jean I Berthelin. De confession calviniste. Reçu maître dès le 11 nov. 1631 et établi vers 1644. Neveu par alliance (déc. 1657) du pasteur de Charenton Charles Drelincourt. Objet de nombreuses saisies et poursuites judiciaires entre 1659 et 1666. Dit âgé de 56 ans lors de son décès (Rouen, 9 déc. 1672)', 'Adresse : Le Petit-Quevilly (Quevilly) (1644?-1672)', 'Adresse : Rouen (1644?-1672) ; Rue aux Juifs (, près lamaison de ville) ; Dans la cour du Palais']",isni:0000000066454743,http://isni.org/isni/0000000066454743,Imprimeur,Rouen,dans la cour du Palais,,,
Besongne,Cardin,"rue d’Écosse, près de Saint-Hilaire.",,,"[""Paris : 1627-1671 ; Rue d'Écosse, au Mont Saint-Hilaire (ou : près Saint-Hilaire) ; Au Palais, au haut de la montée de la Sainte-Chapelle ; Au Palais (, dans la galerie des Prisonniers) - Au Chapeau royal - Aux Roses vermeilles"", 'Libraire. Vraisemblablement originaire de Rouen, il est recu apprenti en cette ville, chez Jacques I Besongne, en 1611. À nouveau (?) en apprentissage à Paris en 1618. Reçu maître en fév. 1627', 'Devise(s) : Ex dolore gaudium']",isni:0000000109284925,http://isni.org/isni/0000000109284925,Imprimeur,Paris,rue d’Écosse,près de Saint-Hilaire,,
Besongne,Jacques,"en la cour du Palais, à Rouen.",,,"['Devise(s) : Concordia insuperabilis', 'Rouen : 1638?-1699? ; Dans la cour du (ou : Au) Palais', 'Libraire. Fils de Jacques I Besongne, à qui il succède en 1638 ou peu avant ; neveu et fréquent associé de David Du Petit Val et de Jean I Berthelin. Dit âgé de 53 ans et demi en mai 1668 et de 85 ans ""ou environ"" lors de son décès (mai 1699)']",isni:0000000109055604,http://isni.org/isni/0000000109055604,Imprimeur,Paris,en la cour du Palais,,,
Bessin,Nicolas,au Palais en l’allée Saint-Michel,,,"[""Paris : 1642-167 ; Rue de Reims, près le collège ; Rue Saint-Jean-de-Beauvais ; Au Palais (, en l'allée (de la chapelle) Saint-Michel, vis-à-vis de la porte de la rue)"", ""Fils et successeur de Jacques I Bessin ; gendre d'Adrien Bacot. Recu maître en mars 1642. Encore en activité en 1669, mais veuve attestée lors de la visite de mars 1679""]",isni:0000000371172953,http://isni.org/isni/0000000371172953,Imprimeur,Paris,au Palais en l’allée Saint-Michel,,,
Bessin,Jean,"rue de Reims, près de la grande porte du collège.",,,"[""Né avant 1600 : quittance d'apprentissage en 1613. Veuve attestée en 1666"", 'Paris : 1621-1663 ; Rue de Reims, près le Collège (ou : près la grand-porte du Collège)']",isni:0000000371384884,http://isni.org/isni/0000000371384884,Imprimeur,Paris,rue de Reims,près de la grande porte du collège,,
Blageart,Michel,"au bout du Pont-Neuf, au coin de la rue Daufine (sic).",,À la Fleur de lys,"['Paris : 1631-1655? ; Rue Neuve-Saint-Louis, vis-à-vis la petite porte du Palais ; Au bout du Pont-Neuf, au coin de la rue Dauphine ; Rue de la Calandre, près (ou : devant) le Palais ; Rue Dauphine - À la Fleur de lys', 'Devise(s) : Calcata resurgit', ""Frère puîné de Jérôme Blageart. Entre en apprentissage en janv. 1614 chez Heureux Blanvillain dont il épouse l'une des filles""]",isni:0000000109139226,http://isni.org/isni/0000000109139226,Imprimeur,Paris,au bout du Pont-Neuf,au coin de la rue Dauphine,,
Blondeau,,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,au mont Saint-Hilaire,,,
Boisset,Nicolas,rue Calende,,A l’image Saint-Étienne,"['Imprimeur-libraire', ""Paris, 30 juin 1644 - 1663. Adresses : rue Galende, à l'image Saint-Etienne (en 1649) ; rue Saint-Jean-de-Beauvais, au coeur navré (en 1663)""]",isni:0000000003353603,http://isni.org/isni/0000000003353603,Imprimeur,Paris,rue Calende,,,
Bon,Pierre,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,au mont Saint-Hilaire,,,
Du Bosc,Veuve de Jean,à Rouen.,,,"['Libraire', 'Rouen, 1630-1648. Adresse : dans la cour du Palais', 'Epouse Jean I Du Bosc le 25 juillet 1605. Lui succède en 1630']",isni:0000000357640378,http://isni.org/isni/0000000357640378,Imprimeur,Rouen,dans la cour du Palais,,,
Bouche d’or,Jean-Baptiste,,,A la croix de Hiérusalem.,,,,Imprimeur,,,,,
Bouchet,Jacques,"rue des Amandiers, devant le collège des Grassins.",,,,,,Imprimeur,Paris,rue des Amandiers,devant le collège des Grassins,,
Boude,Jean,à Toulouse,imprimeur du roi à Toulouse.,,"[""Toulouse : 1607?-1684 ; Près le collège de Foix - À l'enseigne Saint Jean"", 'Narbonne : 1658', ""Travaille en association avec son fils Jean-Jacques Boude jusqu'à la mort de celui-ci (mars 1675), puis avec sa belle-fille Élisabeth Hénault (veuve Jean-Jacques Boude) jusqu'en 1677. Nicolas d'Estey travaille dans son atelier en 1626."",'Imprimeur-libraire ; imprimeur (ordinaire) du Roi, des États généraux de la province de Languedoc et de l'université de Toulouse. Imprime en 1662 pour le collège des Jésuites de Béziers, mais à Toulouse en dépit de l'adresse portée sur lesdites impressions. Réimprime la ""Gazette"" à partir de 1673. Se retire en mars 1684. Décédé en 1689. Grand-père de l'imprimeur-libraire Jean II Boude.']",isni:0000000054343966,http://isni.org/isni/0000000054343966,Imprimeur,Toulouse,,Près le collège de Foix,À l'enseigne Saint Jean,
Boudeville,Claude,"rue des Carmes, proche Saint-Hilaire",,Au lys fleurissant.,"['Apprenti puis compagnon de Noe͏̈l Charles. En activité dès 1649 ; reçu maître en fév. 1650', 'Paris : 1649-1650 ; Rue des Carmes (, proche Saint-Hilaire) - Au Lys fleurissant']",isni:0000000108647130,http://isni.org/isni/0000000108647130,Imprimeur,Paris,rue des Carmes,proche Saint-Hilaire,,
Bouillerot,Jérémie,"rue de la Calandre, près le Palais.",,,"[""Paris : 1638-1657 ; Dans la cour du Palais, vis-à-vis la Conciergerie ; Rue de la (Vieille-) Draperie (, vis-à-vis la grand-porte du Palais) ; (Dessous la Grande porte du ; devant le ; près le) Palais (, vis-à-vis la) rue de la Calende - À l'enseigne de l'Imprimerie - Au Saumon"", 'Imprimeur-libraire. Apprenti chez Joseph Guerreau dès fév. 1617. Reçu imprimeur-libraire en mars 1638']",isni:000000037117481X,http://isni.org/isni/000000037117481X,Imprimeur,Paris,rue de la Calandre,près le Palais,,
Boulanger,Pierre,rue Bordel,,Au petit panier,,,,Imprimeur,Paris,rue Bordel,,,
Bourdelois,Antoine,rue Pavée,,,,,,Imprimeur,Paris,rue Pavée,,,
Bourgeois,Claude,au mont Saint-Hilaire,,,,viaf:120750736,http://viaf.org/viaf/120750736,Imprimeur,Paris,au mont Saint-Hilaire,,,
Du Bray,Jean,rue Saint-Jacques,,Aux épis mûrs et Au chapelet.|Aux épis mûrs et Au chapelet.,"['Devise(s) : Cultu fertilior', 'Libraire. - Reçu maître en janv. 1636. En 1642, succède à sa mère, veuve de Toussaint Du Bray. Gendre de Sébastien Chappelet', 'Paris : 1636-1674 ; Rue Saint-Jacques - Aux Épis mûrs (et au Chapelet ; et au Rosier)']",isni:0000000110444201,http://isni.org/isni/0000000110444201,Imprimeur,Paris,rue Saint-Jacques,,,
Brunet,Jean,"rue Neuve Saint-Louis, proche le Palais.",,Au canon royal,"[""Aurait également pratiqué la reliure-dorure. Un libraire du même nom a exercé à Lyon en 1617 et au Pont (i. e. Charenton ?) en 1617 et 1618. Rédacteur et éditeur de mazarinades favorables au parti des Princes et au duc d'Orléans en 1652"", ""Paris : 1614-1660? ; Rue Saint-Germain ; Au bout du pont Notre-Dame ; Rue Neuve-Saint-Louis (, au bout du pont Saint-Michel ; en la troisième chambre ; près (ou : proche) le Palais) ; Rue Sainte-Anne - Aux Trois Pigeons - Au Trois de chiffre - À la Crosse d'or - Au Canon royal""]",isni:0000000001831368,http://isni.org/isni/0000000001831368,Imprimeur,Paris,rue Neuve Saint-Louis,proche le Palais,,
Bruslé,Jean,à la Montagne,,,,,,Imprimeur,Paris,à la Montagne,,,
La Caille,Jean de,,imprimeur ordinaire du roi.,À l'Image Saint Sébastien,"['Devise(s) : Ille candela Dei', ""Paris : 1641-1673 ; Au Mont Saint-Hilaire (ou : Rue Chartière), près le Puits-Certain ; Rue Saint-Jacques - À l'Image Saint Sébastien - Aux Trois Cailles"", ""Imprimeur-libraire ; imprimeur (ordinaire) du Roi (1644) ; libraire juré de l'université (1645). Ancien apprenti et gendre de Jean de La Coste. Reçu maître en déc. 1641""]",isni:0000000071413225,http://isni.org/isni/0000000071413225,Imprimeur,Paris,au mont Saint-Hilaire,proche le Puits-Certain,,
Cailloué,Jacques,"au Palais, à Rouen.",,À l'enseigne du Noyer,"[""Rouen : 1612?-1663? ; Rue aux Juifs (, près le Palais) ; Dans la cour du (ou : Au) Palais - À l'enseigne du Noyer"", 'Devise(s) : Je suis tousjours Cailloué. Paupertas obesse ne summis ingeniis provehantur', 'Le Petit-Quevilly (Quevilly) : 1612?-1663?', ""Libraire. Fils d'un Isaac Cailloué. Recu apprenti en août 1609 et maître en 1618, il aurait commencé à exercer dès 1612. Décédé le 1er août 1664 lors d'un déplacement à Saumur""]",isni:0000000066450734,http://isni.org/isni/0000000066450734,Imprimeur,Rouen,au Palais,,,
Calleville,(veuve de Claude),"rue de Reims , à l’encoignure de la rue Chartière.",,,,isni:0000000002197899,http://isni.org/isni/0000000002197899,Imprimeur,Paris,rue de Reims,à l’encoignure de la rue Chartière,,
Camus,Jérôme,au mont Saint-Hilaire,,,,,,Imprimeur,Paris,au mont Saint-Hilaire,,,
Camusat,Veuve de Jean,rue Saint-Jacques,,A la toison d’or et A la croix d’or.|A la toison d’or et A la croix d’or.,"[""Travaille à partir de 1642 et jusqu'en juin 1651 en association avec Pierre Le Petit, son gendre à partir de nov. 1643"", ""Adresse : Paris (1639-1652?), Rue Saint-Jacques. - À la Toison d'or (et à la Croix d'or), À la Croix d'or"", ""Nom patronymique : Denise de Courbes. - Imprimeur-libraire ; imprimeur-libraire de l'Académie française (1639-1646). - Fille d'un Jean de Courbes mesureur juré de grains et bourgeois de Paris, et non du libraire parisien Jean de Courbe(s). Épouse l'imprimeur-libraire Jean Camusat en juillet 1624. Lui succède à son décès (juin 1639). Publie également sous le nom de Jean Camusat, jusqu'en 1642 au moins. Se remarie le 15 juillet 1651 avec le libraire Louis de Villac ; autorisée à s'en séparer de biens par acte du 17 juin 1653. Inventaire après décès 7 juin 1678"", 'Devise(s) : Tegit et quos tangit inaurat']",isni:0000000000279794,http://isni.org/isni/0000000000279794,Imprimeur,Paris,rue Saint-Jacques,,,
Candy,Jean-Aimé,à Lyon,imprimeur ordinaire du roi,Au Dauphin (royal),"['Imprimeur du Roi en association avec Guillaume I Barbier à partir de 1648', 'Lyon : 1627-1658 ; Rue du Puy-Pelu - Au Dauphin (royal)', 'Variante(s) de prénom : Joannes Amatus ; Jean-Aymé. Imprimeur-libraire ; imprimeur (ordinaire) du Roi (1643) et du clergé. Imprime l'éd. lyonnaise de la ""Gazette"" de 1640 à 1645 et d'oct. 1648 à janv. 1658. Teste le 10 janv. 1658 ; veuve attestée à partir du 17 janv. 1658']",isni:0000000121202486,http://isni.org/isni/0000000121202486,Imprimeur,Lyon,Rue du Puy-Pelu,,,
Canobe ou Canabot,,rue de la Machine,Aussi « Canabe (Jacques) »,à l’enseigne de l’Équinoxe.,,isni:0000000071065793,http://isni.org/isni/0000000071065793,Imprimeur,Paris,rue de la Machine,,,
Cay,Denis de,en l'île du Palais,imprimeur et libraire ordinaire de la chambre des Comptes,Au soleil d'or,"[""Lieu d'activité : Paris. Dates d'activité : 1618-1671?. Adresse : Dans la cour du Palais entre les deux petits escaliers de la Grand-Salle. Adresse : En entrant dans (ou : À l'entrée de) la grand-salle du Palais du côté des Consultations. Adresse : En l'île du Palais. Enseigne : Au Chef Saint Denis. Enseigne : Au Soleil d'or"",'A travaillé en association avec le libraire-relieur Eustache I Daubin', 'Variante(s) de prénom : Denys. - Libraire ; libraire suivant la cour ; imprimeur et libraire ordinaire de la Chambre des comptes. - Exerce en qualité de relieur de 1618 à 1622. Reçu libraire en 1621. Publie des mazarinades entre 1649 et 1652. Sa veuve exerce aux environs du Louvre entre 1672 et 1683 au moins']",isni:0000000074989000,http://isni.org/isni/0000000074989000,Imprimeur,Paris,en l'île du Palais,,,
Chambellan,David,au mont Saint-Hilaire,,,"[""Imprimeur-libraire. - Lieu d'activité : Paris. - Dates d'activité : 1er février 1635 - .... . - Adresse : rue de la Harpe, à l'Écu de France.""]",isni:0000000059140607,http://isni.org/isni/0000000059140607,Imprimeur,Paris,au mont Saint-Hilaire,,,
Chamhoudry,Louis,"au Palais, près de la Sainte-Chapelle , à l’entrée de la petite salle",,Au bon marché,"['Libraire. Gendre d'André Soubron chez qui il a été apprenti à partir de déc. 1642. Reçu maître en août 1648. Auteur de l'épître dédicatoire du ""Recueil de diverses poésies des plus célèbres autheurs de ce temps..."" (1652)', ""Paris : 1648-1672? ; Au Palais, proche (ou : près de ; devant) la Sainte chapelle (, à l'entrée de la petite salle) - Au Bon Marché - À l'Image Saint Louis""]",isni:0000000063019084,http://isni.org/isni/0000000063019084,Imprimeur,Paris,au Palais,"près de la Sainte-Chapelle , à l’entrée de la petite salle",,
Champenois,Pierre,,,,"['En 1633, travaille en association avec le libraire Pierre Trichard', 'Libraire-relieur. - En apprentissage chez le libraire parisien Guillaume I Macé à partir de juin 1610. Reçu maître le 14 mai 1626. En 1645 obtient des lettres de colporteur. Le 1er mars 1648, des pièces de théâtre de Pierre Corneille contrefaites sont saisies dans sa boutique ainsi que chez d'autres libraires parisiens ; une sentence du Châtelet du 28 nov. 1648 les condamne aux dommages et intérêts et porte confiscation des livres saisis (cf. G. Lepreux, ""Revue des bibliothèques"", XXIV, 1914, pp. 159-161). Sépulture le 5 mars 1649 à Paris', ""Lieu d'activité : Paris. Dates d'activité : 1626-1649. Adresse : (Dessus (ou : Sur) le Pont-Neuf,) Proche (ou : vis-à-vis ; devant) la Samaritaine""]",viaf:218396028,http://viaf.org/viaf/218396028,Imprimeur,Paris,sur le Pont-Neuf,proche la Samaritaine,,
Champenois,Pierre,proche la Samaritaine.,,,"['En 1633, travaille en association avec le libraire Pierre Trichard', 'Libraire-relieur. - En apprentissage chez le libraire parisien Guillaume I Macé à partir de juin 1610. Reçu maître le 14 mai 1626. En 1645 obtient des lettres de colporteur. Le 1er mars 1648, des pièces de théâtre de Pierre Corneille contrefaites sont saisies dans sa boutique ainsi que chez d'autres libraires parisiens ; une sentence du Châtelet du 28 nov. 1648 les condamne aux dommages et intérêts et porte confiscation des livres saisis (cf. G. Lepreux, ""Revue des bibliothèques"", XXIV, 1914, pp. 159-161). Sépulture le 5 mars 1649 à Paris', ""Lieu d'activité : Paris. Dates d'activité : 1626-1649. Adresse : (Dessus (ou : Sur) le Pont-Neuf,) Proche (ou : vis-à-vis ; devant) la Samaritaine""]",viaf:218396028,http://viaf.org/viaf/218396028,Imprimeur,Paris,,proche la Samaritaine,,
Charles,Noël,rue Saint-Jacques,,Aux trois couronnes,"[""Paris :1623-1659?, Rue des Carmes, Rue Saint-Jacques (, devant les Mathurins). Au collège de la Merci (, rue des Sept-Voies). Près Saint-Hilaire, en la cour d'Albret, Aux Trois Couronnes"", 'Variante(s) de prénom : Natalis. - Imprimeur-libraire. - Entré en apprentissage en oct. 1607. Reçu maître le 19 oct. 1623. Sépult. 12 avril 1662','Devise(s) : Manet ultima coelo']",isni:0000000110472958,http://isni.org/isni/0000000110472958,Imprimeur,Paris,rue Saint-Jacques,,,
Chaumusy,François,proche le Puits-certain,,,,isni:0000000076971031,http://isni.org/isni/0000000076971031,Imprimeur,Paris,,proche le Puits-certain,,
Chenault,Charles,"au bout du pont Saint-Michel, à l’entrée de la rue de la Huchette.",,,,isni:0000000121327895,http://isni.org/isni/0000000121327895,Imprimeur,Paris,au bout du pont Saint-Michel,à l’entrée de la rue de la Huchette,,
Chéreau,Éloi,proche Saint-Hilaire,,,,77255678,,Imprimeur,Paris,,proche Saint-Hilaire,,
Chevalier,Jacob,devant le collège Royal.,,,"[""Reçu apprenti chez le relieur Geoffroy Cordier en mai 1618 ; reçu maître le 16 janv. 1631. Gendre du libraire-relieur Jean de Courbe. Corédacteur de l'inventaire de la bibliothèque de François de Bassompierre (oct.-nov. 1646). Un arrêt du parlement de Paris du 2 mars 1651 lui interdit, ainsi qu'à d'autres libraires-relieurs, de publier des arrêts dont certains libraires ont le privilège. Administrateur de la confrérie de 1654 à 1657"", 'Paris : 1631-1657? ; Proche Saint-Jean-de-Latran (ou : Rue Saint-Jean-de-Latran, devant le Collège royal (; devant Saint-Benoît))']",isni:0000000385986464,http://isni.org/isni/0000000385986464,Imprimeur,Paris,devant le collège Royal,,,
Chevalier,L.,,,,,,,Imprimeur,,,,,
Chouqueux,André,"rue Saint-André des Arts (sic), près le pont Saint-Michel",,A l’image Notre-Dame.|A l’image Notre-Dame.,"['Imprimeur-libraire. Apprenti en 1638 puis gendre de Jean Brunet. Recu libraire en août 1649, puis imprimeur avant 1657. Veuve attestée en 1691', ""Paris : 1649-1691? ; Rue Saint-André-des-Arts (, près le pont Saint-Michel) ; Rue de Harlay, à l'entrée de la cour neuve du Palais""]",isni:0000000364435102,http://isni.org/isni/0000000364435102,Imprimeur,Paris,rue Saint-André-des-Arts,près le pont Saint-Michel,à l'image Notre-Dame,
Chrestien,Antoine,"rue des Sept-Voies, devant le collège de Fortet.",,,"[""Lieu d'activité : Paris. Dates d'activité : 1651-1665. Adresse : Rue des Sept-Voies (, devant le collège de Fortet ; devant le collège de Montaigu)"",""Variante(s) de prénom : Antonio. - Imprimeur-libraire. - Entré en apprentissage chez l'imprimeur-libraire parisien Mathurin Hénault en nov. 1638. Reçu maître le 7 juin 1651 ; épouse la veuve de l'imprimeur-libraire Jacques Guillery. Encore en activité en 1665. Veuve attestée en 1665 et lors du procès-verbal du 15 oct. 1666""]",isni:0000000001599095,http://isni.org/isni/0000000001599095,Imprimeur,Paris,rue des Sept-Voies,devant le collège de Fortet,,
Chumusy (de),Pierre,rue Traversine,,A l’image Saint-François.,,,,Imprimeur,Paris,rue Traversine,,à l'image Saint-François,
Clément,Philippe,rue des Fossés,,,['Libraire. - Paris : 1652. - Adresse : rue des Fossés'],isni:0000000360431147,http://isni.org/isni/0000000360431147,Imprimeur,Paris,rue des Fossés,,,
Clément,Jacques,à la montagne Sainte-Geneviève.,,,,,,Imprimeur,Paris,,à la montagne Saint-Geneviève,,
Clement,Anthony,"au faubourg Saint-Germain, sur les fossés.",,,['Commentateur de poètes classiques latins'],isni:0000000083829623,http://isni.org/isni/0000000083829623,Imprimeur,Paris,,"au faubourd Saint-Germain, sur les fossés",,
Clousier,Gervais,"au Palais, sur les degrés de la Sainte-Chapelle.",,,"[""Paris : 1634-1681 ; Au Palais, sur les degrés de (ou : en montant pour aller à) la Sainte-Chapelle (, à la seconde boutique) - À l'enseigne du Voyageur"", 'Libraire. Frère puîné de Francois I Clousier. Recu libraire en août 1634']",isni:0000000121202443,http://isni.org/isni/0000000121202443,Imprimeur,Paris,,"au Palais, sur les degrés de la Sainte-Chapelle",à l'enseigne du Voyageur,
Colomb,Benoît,à Toulon.,,,,,,Imprimeur,Toulon,,,,
Colombel,Mathieu,"rue Neuve Sainte-Anne du Palais, A la colombe royale.",,A la colombe royale.,"['Imprimeur','Paris, 17e s. Rue Neuve Sainte-Anne du Palais, à la Colombe royale']",isni:0000000056700197,http://isni.org/isni/0000000056700197,Imprimeur,Paris,rue Neuve Sainte-Anne du Palais,,à la colombe royale,
Du Coq,Pierre,à Bordeaux,,,"[""Lieu d'activité : Bordeaux. Dates d'activité : 1642-1680. Adresse : Rue Saint-James. Enseigne : À l'enseigne du Coq"",""Imprimeur-libraire. - Fils de l'imprimeur-libraire de Bordeaux Jacques Du Coq. Décédé à Bordeaux le 30 sept. 1680. Sa veuve lui succède entre 1681 et 1683 puis se remarie avec Pierre III Abegou, qui reprend l'imprimerie""]",isni:0000000077554416,http://isni.org/isni/0000000077554416,Imprimeur,Bordeaux,rue Saint-James,,,
Coquet,Charles,rue Saint-Jacques ,,,,,,Imprimeur,Paris,rue Saint-Jacques,,,
